id,join_dt,group,country,gender,device,total_spent
1000066,2023-01-25,A,DEU,,A,0
1000067,2023-01-27,A,BRA,M,A,0
1000068,2023-01-30,B,GBR,F,A,0
1000069,2023-01-30,B,ESP,M,A,0
1000070,2023-01-26,A,ESP,M,I,0
1000071,2023-01-31,B,USA,F,I,6.71
1000072,2023-01-28,B,DEU,F,I,0
1000073,2023-01-29,A,USA,M,A,0
1000074,2023-01-30,B,BRA,O,A,0
1000075,2023-01-30,A,GBR,M,A,0
1000076,2023-01-25,A,USA,F,I,0
1000077,2023-01-25,A,AUS,F,,0
1000078,2023-01-26,A,FRA,F,A,0
1000080,2023-01-26,A,USA,,A,0
1000081,2023-01-26,A,USA,F,A,0
1000082,2023-01-25,B,BRA,M,A,0
1000083,2023-01-27,A,BRA,F,A,0
1000084,2023-01-26,A,MEX,M,A,0
1000085,2023-01-26,A,MEX,M,I,0
1000086,2023-01-28,B,BRA,M,A,0
1000087,2023-01-28,B,ESP,M,A,0
1000088,2023-01-27,B,,O,A,0
1000089,2023-01-25,A,BRA,F,I,0
1000090,2023-01-27,B,USA,F,A,0
1000091,2023-01-26,B,BRA,M,A,0
1000092,2023-02-03,B,BRA,,I,0
1000093,2023-01-30,B,TUR,M,I,0
1000094,2023-01-26,B,DEU,M,A,0
1000095,2023-01-27,B,CAN,F,I,0
1000096,2023-01-29,B,USA,F,A,0
1000097,2023-01-26,B,MEX,O,I,0
1000098,2023-01-30,A,GBR,M,A,0
1000099,2023-02-03,A,USA,,A,0
1000100,2023-01-31,B,,M,A,0
1000101,2023-02-02,B,MEX,F,A,23.804496940652932
1000102,2023-01-28,A,USA,M,A,0
1000103,2023-02-02,A,BRA,M,A,0
1000104,2023-01-29,A,USA,,A,0
1000105,2023-01-25,A,USA,M,I,0
1000106,2023-01-27,A,TUR,,A,0
1000107,2023-01-25,A,BRA,,A,0
1000108,2023-02-02,B,MEX,M,A,0
1000109,2023-01-25,B,MEX,M,A,0
1000110,2023-01-29,A,USA,M,A,0
1000111,2023-01-27,B,GBR,,A,0
1000112,2023-01-28,A,USA,F,A,0
1000113,2023-01-28,B,BRA,M,A,0
1000114,2023-01-28,A,CAN,M,I,0
1000115,2023-01-27,A,MEX,M,A,0
1000117,2023-01-29,A,ESP,,I,0
1000118,2023-01-25,B,USA,M,,0
1000119,2023-01-29,B,BRA,F,A,0
1000120,2023-01-28,B,TUR,M,I,0
1000121,2023-01-25,B,ESP,F,A,0
1000122,2023-01-28,A,BRA,F,A,0
1000123,2023-01-26,B,DEU,,I,100.74
1000124,2023-01-30,B,MEX,M,A,0
1000125,2023-02-04,A,DEU,F,A,0
1000126,2023-02-03,A,TUR,F,I,0
1000127,2023-01-26,B,USA,F,A,0
1000128,2023-02-03,B,GBR,M,A,0
1000129,2023-01-31,A,DEU,M,I,0
1000130,2023-01-27,B,USA,M,A,0
1000131,2023-01-25,A,BRA,,A,0
1000132,2023-02-06,B,USA,F,I,0
1000133,2023-01-29,A,USA,,I,0
1000134,2023-01-28,B,USA,,I,0
1000135,2023-01-25,B,USA,M,I,0
1000136,2023-01-25,A,MEX,M,A,0
1000137,2023-01-29,A,USA,M,A,0
1000138,2023-01-28,B,BRA,M,I,0
1000139,2023-01-25,A,USA,,I,0
1000140,2023-01-27,A,USA,M,I,0
1000141,2023-01-25,A,BRA,M,A,11.49
1000142,2023-01-26,B,USA,F,,0
1000143,2023-01-25,B,USA,,I,0
1000144,2023-01-26,A,USA,M,I,0
1000145,2023-01-25,A,MEX,,I,0
1000146,2023-01-29,A,BRA,F,A,0
1000147,2023-02-03,A,TUR,F,A,0
1000148,2023-01-26,A,FRA,M,I,0
1000149,2023-01-25,A,,M,I,0
1000150,2023-02-05,B,USA,F,I,0
1000151,2023-01-28,A,MEX,M,I,0
1000152,2023-02-06,B,MEX,F,I,0
1000153,2023-01-27,B,USA,F,A,0
1000155,2023-01-26,A,DEU,M,I,0
1000156,2023-01-25,A,BRA,M,I,0
1000157,2023-01-28,A,ESP,F,I,0
1000158,2023-01-26,A,TUR,M,I,0
1000160,2023-01-25,A,USA,F,A,35.34
1000161,2023-01-31,A,,M,A,0
1000162,2023-01-27,A,BRA,M,A,52.92
1000163,2023-01-29,B,BRA,F,A,0
1000164,2023-01-26,B,BRA,F,A,0
1000165,2023-01-30,B,GBR,M,I,0
1000166,2023-02-04,A,DEU,M,A,0
1000167,2023-01-25,A,BRA,F,A,0
1000168,2023-02-05,A,BRA,F,A,0
1000169,2023-01-26,A,USA,O,I,0
1000170,2023-02-01,B,USA,M,A,0
1000171,2023-01-27,A,USA,M,I,0
1000172,2023-01-25,A,USA,,I,0
1000173,2023-01-25,A,USA,F,I,0
1000174,2023-01-29,B,TUR,M,A,0
1000175,2023-01-25,A,AUS,F,I,0
1000177,2023-02-02,A,DEU,F,A,0
1000178,2023-02-03,B,USA,M,I,0
1000179,2023-01-27,B,USA,M,A,0
1000180,2023-01-25,B,USA,M,I,0
1000181,2023-02-03,A,USA,F,I,0
1000182,2023-01-31,B,TUR,F,A,0
1000183,2023-01-27,B,MEX,M,A,0
1000184,2023-01-25,A,ESP,M,A,0
1000185,2023-02-04,B,MEX,F,I,53.07
1000186,2023-02-01,A,MEX,F,A,0
1000187,2023-01-26,B,,M,I,0
1000188,2023-01-25,B,USA,M,A,0
1000189,2023-01-25,B,CAN,,I,0
1000190,2023-02-05,A,GBR,M,I,0
1000191,2023-01-25,B,FRA,F,A,0
1000192,2023-02-05,A,ESP,F,I,0
1000193,2023-01-26,B,BRA,F,A,0
1000194,2023-01-31,A,MEX,F,A,0
1000195,2023-01-25,A,GBR,F,A,0
1000196,2023-01-26,A,MEX,M,A,0
1000197,2023-01-30,B,TUR,F,A,0
1000198,2023-01-28,A,USA,M,A,0
1000199,2023-02-06,B,MEX,F,I,0
1000200,2023-01-26,A,USA,F,I,166.32
1000201,2023-01-27,B,CAN,F,I,0
1000202,2023-01-26,A,MEX,M,A,0
1000203,2023-01-26,A,DEU,M,A,0
1000204,2023-01-27,B,DEU,M,A,0
1000205,2023-01-29,A,BRA,,A,0
1000206,2023-01-26,A,USA,F,I,0
1000207,2023-01-26,A,TUR,F,A,0
1000208,2023-01-25,A,USA,F,I,0
1000209,2023-02-05,B,ESP,,A,0
1000210,2023-01-28,A,FRA,F,I,0
1000211,2023-01-30,B,USA,M,A,0
1000212,2023-01-31,A,MEX,F,A,0
1000213,2023-01-26,B,AUS,M,I,0
1000214,2023-01-25,B,FRA,F,A,0
1000215,2023-02-02,B,,M,I,0
1000216,2023-01-27,B,USA,M,I,0
1000217,2023-01-26,B,BRA,,A,0
1000218,2023-01-25,B,USA,F,A,0
1000219,2023-01-25,A,ESP,F,A,0
1000220,2023-01-26,A,USA,,I,0
1000221,2023-01-27,A,DEU,M,A,0
1000222,2023-02-01,A,USA,M,A,0
1000223,2023-02-01,A,DEU,M,I,0
1000224,2023-02-05,A,GBR,F,A,0
1000225,2023-01-28,B,USA,M,A,0
1000226,2023-01-31,A,CAN,M,,0
1000227,2023-01-25,A,GBR,F,I,0
1000228,2023-02-01,B,USA,F,I,0
1000229,2023-01-28,A,USA,M,I,0
1000230,2023-01-25,B,BRA,O,I,0
1000231,2023-01-25,B,FRA,F,I,0
1000232,2023-01-29,B,BRA,F,A,0
1000233,2023-01-26,A,MEX,M,A,0
1000234,2023-02-02,B,GBR,M,A,0
1000235,2023-02-06,A,FRA,M,I,0
1000236,2023-02-05,B,BRA,M,I,0
1000237,2023-01-29,B,USA,M,I,13.17
1000238,2023-01-27,B,USA,M,I,0
1000239,2023-01-25,A,TUR,F,A,0
1000240,2023-02-05,B,CAN,M,I,0
1000241,2023-01-25,A,BRA,,A,0
1000242,2023-01-27,B,BRA,M,A,0
1000243,2023-01-26,A,USA,F,A,0
1000244,2023-01-28,B,USA,M,A,0
1000245,2023-01-25,A,MEX,F,A,0
1000246,2023-01-26,B,TUR,F,I,0
1000247,2023-01-28,A,FRA,F,A,0
1000248,2023-01-25,A,FRA,M,A,0
1000249,2023-01-26,A,GBR,F,,0
1000250,2023-02-04,B,FRA,F,A,0
1000251,2023-01-26,A,USA,M,A,0
1000252,2023-02-01,A,TUR,F,I,0
1000253,2023-02-06,B,DEU,M,A,40.32
1000254,2023-01-30,B,ESP,M,A,0
1000255,2023-01-26,B,FRA,,A,0
1000256,2023-01-28,B,USA,,I,0
1000257,2023-01-29,B,GBR,F,A,0
1000258,2023-01-27,A,CAN,F,I,0
1000259,2023-02-06,A,BRA,M,A,0
1000260,2023-02-04,B,USA,F,A,0
1000261,2023-01-25,A,TUR,F,A,205.98
1000262,2023-01-31,A,MEX,M,A,0
1000263,2023-01-31,B,USA,M,A,0
1000264,2023-01-25,A,BRA,F,A,0
1000265,2023-01-28,A,USA,F,A,0
1000266,2023-01-31,B,GBR,M,A,0
1000267,2023-01-25,B,USA,M,I,0
1000268,2023-01-31,A,BRA,F,A,0
1000269,2023-01-25,A,USA,M,A,116.29
1000270,2023-01-26,A,AUS,F,I,0
1000271,2023-01-28,A,MEX,M,A,0
1000272,2023-01-29,B,FRA,M,I,0
1000273,2023-02-03,B,DEU,F,I,0
1000274,2023-01-25,A,DEU,M,I,0
1000275,2023-01-26,A,USA,M,I,0
1000276,2023-01-26,A,BRA,M,I,0
1000277,2023-02-03,A,BRA,F,A,0
1000278,2023-01-29,A,DEU,,I,0
1000279,2023-01-25,A,USA,M,A,0
1000280,2023-02-01,A,MEX,F,A,0
1000281,2023-01-28,B,USA,M,A,0
1000282,2023-02-04,B,MEX,M,A,0
1000283,2023-02-02,B,USA,M,I,0
1000284,2023-01-25,B,BRA,,I,0
1000285,2023-01-25,A,,F,I,0
1000286,2023-01-30,A,USA,M,I,0
1000287,2023-01-27,B,DEU,F,I,0
1000288,2023-01-28,A,TUR,F,I,0
1000289,2023-02-04,B,DEU,M,A,0
1000290,2023-01-26,A,FRA,M,I,0
1000291,2023-01-28,A,ESP,M,I,0
1000292,2023-01-26,A,ESP,,A,0
1000294,2023-02-02,B,MEX,F,A,0
1000295,2023-01-27,B,USA,F,A,0
1000296,2023-01-29,A,USA,M,A,0
1000297,2023-01-26,B,BRA,,A,0
1000298,2023-01-26,A,CAN,F,A,0
1000299,2023-01-27,B,FRA,M,I,0
1000300,2023-01-26,A,MEX,F,A,0
1000301,2023-01-25,B,TUR,F,I,0
1000302,2023-01-25,A,BRA,F,I,0
1000303,2023-01-29,B,DEU,F,I,0
1000304,2023-02-03,A,USA,M,A,0
1000305,2023-01-26,A,USA,F,A,0
1000306,2023-01-25,A,FRA,F,A,0
1000307,2023-01-31,A,BRA,M,A,0
1000308,2023-01-27,A,BRA,M,A,0
1000309,2023-01-26,B,USA,F,I,0
1000310,2023-01-27,B,BRA,F,A,0
1000311,2023-01-25,A,BRA,F,I,0
1000312,2023-02-04,B,MEX,F,I,0
1000313,2023-01-25,B,MEX,F,I,0
1000315,2023-02-02,A,BRA,F,A,0
1000316,2023-02-02,A,USA,F,A,0
1000317,2023-01-27,B,FRA,M,A,0
1000318,2023-02-03,B,USA,M,A,0
1000319,2023-01-28,A,AUS,F,A,0
1000320,2023-01-31,A,USA,M,A,0
1000321,2023-01-30,A,USA,F,A,0
1000322,2023-01-27,B,CAN,,A,0
1000323,2023-01-25,B,TUR,F,A,0
1000325,2023-01-30,A,MEX,M,I,0
1000326,2023-01-30,B,TUR,F,A,0
1000327,2023-01-25,A,USA,M,A,0
1000328,2023-01-26,B,MEX,F,A,0
1000329,2023-01-31,B,USA,M,I,0
1000330,2023-01-26,B,TUR,F,A,0
1000331,2023-01-27,A,USA,M,I,0
1000332,2023-01-25,A,USA,F,I,0
1000333,2023-01-26,A,USA,M,A,0
1000334,2023-01-29,A,FRA,F,I,0
1000335,2023-01-25,A,USA,F,A,0
1000336,2023-01-26,B,BRA,M,A,0
1000337,2023-01-25,A,MEX,M,A,0
1000338,2023-02-06,A,MEX,O,I,0
1000339,2023-02-02,A,USA,F,A,0
1000340,2023-02-01,B,USA,F,I,0
1000341,2023-01-28,A,USA,,I,0
1000342,2023-01-27,B,AUS,F,I,0
1000343,2023-02-01,A,GBR,O,A,0
1000344,2023-01-25,A,USA,F,I,0
1000345,2023-01-25,A,GBR,M,A,0
1000346,2023-01-25,A,MEX,F,I,0
1000347,2023-01-27,A,AUS,O,A,0
1000348,2023-01-25,B,BRA,M,A,0
1000349,2023-01-30,B,BRA,M,A,0
1000350,2023-01-25,B,USA,M,I,0
1000351,2023-01-28,B,BRA,F,A,0
1000352,2023-01-27,A,USA,F,A,0
1000353,2023-01-25,A,MEX,,A,0
1000354,2023-01-26,B,BRA,F,I,0
1000355,2023-01-26,A,FRA,M,A,0
1000356,2023-01-26,A,GBR,F,I,0
1000357,2023-01-27,A,USA,F,I,0
1000358,2023-01-27,B,,F,A,0
1000359,2023-01-27,B,GBR,M,I,0
1000360,2023-01-25,B,TUR,,I,0
1000361,2023-02-04,B,BRA,F,I,0
1000362,2023-01-27,A,FRA,M,A,0
1000363,2023-02-06,A,ESP,M,A,0
1000364,2023-01-29,A,TUR,F,A,0
1000365,2023-01-26,B,FRA,F,A,0
1000366,2023-02-04,B,TUR,,A,0
1000367,2023-01-25,B,BRA,M,A,0
1000368,2023-02-03,A,BRA,,A,0
1000369,2023-01-25,A,BRA,O,I,0
1000370,2023-01-26,B,BRA,M,A,0
1000371,2023-02-03,A,USA,M,A,0
1000372,2023-01-27,B,AUS,F,,0
1000373,2023-01-30,A,FRA,F,A,0
1000374,2023-02-03,A,ESP,F,A,0
1000375,2023-01-25,B,USA,M,A,0
1000376,2023-01-28,A,MEX,F,A,0
1000377,2023-02-02,B,BRA,,A,0
1000378,2023-01-25,B,USA,F,A,0
1000379,2023-01-25,A,MEX,F,I,0
1000381,2023-01-26,B,BRA,,A,0
1000382,2023-02-04,A,DEU,M,I,0
1000383,2023-01-25,A,ESP,,A,0
1000384,2023-01-26,A,DEU,F,I,0
1000385,2023-01-26,A,DEU,M,A,0
1000386,2023-01-28,A,TUR,M,A,0
1000387,2023-02-03,B,MEX,F,A,0
1000388,2023-01-26,B,GBR,F,I,0
1000389,2023-01-27,B,USA,M,A,0
1000391,2023-02-06,B,BRA,,A,0
1000392,2023-01-25,A,ESP,F,A,0
1000393,2023-01-25,A,USA,F,A,0
1000394,2023-01-29,A,ESP,F,I,0
1000395,2023-02-01,A,USA,F,A,0
1000396,2023-01-26,A,MEX,O,A,0
1000397,2023-01-29,B,CAN,F,A,0
1000398,2023-01-26,B,USA,F,A,0
1000399,2023-01-26,A,DEU,M,I,0
1000401,2023-01-30,A,USA,F,I,0
1000402,2023-01-25,A,CAN,,I,0
1000403,2023-01-26,A,AUS,O,A,0
1000404,2023-01-31,A,MEX,M,A,0
1000405,2023-01-28,A,USA,M,I,0
1000406,2023-02-01,A,MEX,,A,0
1000407,2023-01-27,A,TUR,,I,0
1000408,2023-01-27,B,BRA,M,A,0
1000409,2023-01-27,A,BRA,M,A,0
1000410,2023-01-25,B,CAN,F,A,0
1000411,2023-02-03,B,GBR,F,I,0
1000412,2023-01-25,A,TUR,F,I,0
1000413,2023-01-27,B,MEX,,A,0
1000414,2023-01-28,B,BRA,M,A,0
1000415,2023-02-04,B,DEU,,I,57.69
1000416,2023-02-05,A,USA,M,A,0
1000417,2023-01-30,B,DEU,F,A,45.06
1000418,2023-02-04,B,USA,F,A,0
1000419,2023-01-26,A,USA,F,I,0
1000420,2023-02-01,A,USA,F,A,0
1000421,2023-02-06,A,MEX,F,A,0
1000422,2023-01-30,A,TUR,,I,0
1000423,2023-01-25,B,USA,F,A,0
1000424,2023-01-25,B,DEU,F,I,0
1000425,2023-01-29,B,USA,F,A,0
1000426,2023-01-30,A,MEX,F,I,0
1000428,2023-01-28,A,USA,M,A,0
1000429,2023-01-25,B,MEX,O,A,0
1000430,2023-01-26,A,USA,M,I,0
1000431,2023-01-25,B,DEU,F,A,0
1000432,2023-01-26,A,USA,,A,0
1000433,2023-02-05,B,,F,I,0
1000434,2023-01-31,B,BRA,M,I,0
1000436,2023-01-28,B,TUR,F,A,25.55
1000437,2023-02-06,A,DEU,M,A,0
1000438,2023-01-25,A,MEX,F,I,0
1000439,2023-01-25,A,MEX,F,I,0
1000440,2023-01-27,B,GBR,M,A,0
1000441,2023-02-04,A,MEX,F,A,0
1000442,2023-01-26,A,DEU,F,I,0
1000443,2023-01-28,A,USA,M,A,0
1000445,2023-01-26,B,AUS,F,A,0
1000446,2023-01-31,A,FRA,F,A,0
1000447,2023-01-25,B,USA,F,I,0
1000448,2023-01-25,A,BRA,F,I,0
1000449,2023-01-25,B,USA,,I,0
1000450,2023-01-27,B,USA,M,I,0
1000451,2023-02-01,A,BRA,F,I,0
1000452,2023-01-28,A,BRA,,A,0
1000453,2023-01-25,A,MEX,M,A,0
1000454,2023-01-30,B,USA,M,I,39.09
1000455,2023-01-29,B,USA,F,I,0
1000456,2023-01-27,A,TUR,F,I,0
1000457,2023-02-02,A,BRA,F,I,0
1000458,2023-02-06,A,BRA,O,I,0
1000459,2023-01-26,B,FRA,F,A,0
1000460,2023-01-27,B,BRA,,A,0
1000461,2023-01-26,A,BRA,,I,0
1000462,2023-01-25,B,CAN,M,I,0
1000463,2023-02-05,A,TUR,M,A,0
1000464,2023-01-26,A,USA,M,A,0
1000465,2023-01-27,A,BRA,M,A,0
1000466,2023-01-30,B,USA,F,I,0
1000467,2023-01-28,B,TUR,,A,0
1000468,2023-01-25,B,AUS,F,I,0
1000469,2023-02-05,B,GBR,,A,0
1000470,2023-01-30,B,DEU,F,I,0
1000471,2023-02-01,A,BRA,F,A,0
1000472,2023-01-28,B,CAN,F,I,0
1000473,2023-01-28,A,USA,M,A,0
1000474,2023-01-26,B,GBR,M,A,0
1000475,2023-02-06,B,BRA,,A,0
1000476,2023-02-01,B,MEX,F,I,0
1000477,2023-01-28,B,,F,A,0
1000478,2023-01-27,A,FRA,F,I,0
1000479,2023-01-31,B,USA,M,I,0
1000480,2023-01-25,A,BRA,,A,0
1000481,2023-02-02,A,BRA,F,A,0
1000482,2023-01-26,B,TUR,M,A,0
1000483,2023-01-31,A,USA,M,I,0
1000484,2023-01-28,A,BRA,M,A,0
1000485,2023-01-25,A,BRA,,I,0
1000486,2023-01-25,B,DEU,M,A,0
1000487,2023-01-29,A,MEX,M,I,0
1000488,2023-02-05,B,FRA,F,A,0
1000489,2023-02-06,A,MEX,F,I,0
1000490,2023-01-27,A,USA,F,A,0
1000491,2023-01-26,B,TUR,,I,0
1000492,2023-02-02,A,BRA,F,A,0
1000493,2023-02-05,B,USA,F,A,0
1000494,2023-01-27,A,USA,F,I,0
1000495,2023-01-27,A,FRA,M,I,0
1000496,2023-02-05,A,MEX,M,A,0
1000497,2023-01-25,A,USA,F,A,0
1000498,2023-02-05,A,USA,F,I,0
1000499,2023-01-25,B,MEX,F,I,0
1000500,2023-01-30,B,MEX,O,A,0
1000501,2023-01-29,B,USA,F,I,0
1000502,2023-01-30,B,DEU,M,A,0
1000503,2023-01-25,A,DEU,M,A,0
1000504,2023-01-29,A,USA,F,I,0
1000505,2023-01-28,B,MEX,M,,0
1000506,2023-01-30,B,MEX,F,A,0
1000507,2023-02-01,B,BRA,,A,0
1000508,2023-01-26,A,GBR,F,I,0
1000509,2023-01-25,A,USA,F,I,0
1000510,2023-02-02,B,MEX,M,A,16.92
1000511,2023-01-25,B,GBR,M,I,0
1000512,2023-01-25,B,,M,I,0
1000513,2023-01-28,A,USA,F,A,0
1000514,2023-02-05,B,ESP,M,A,0
1000515,2023-01-26,A,BRA,M,A,0
1000516,2023-01-25,A,MEX,F,A,0
1000517,2023-02-03,A,BRA,M,A,0
1000518,2023-01-31,B,USA,F,A,0
1000519,2023-01-27,B,MEX,F,I,0
1000520,2023-02-01,B,MEX,M,A,0
1000521,2023-01-26,B,USA,M,I,0
1000522,2023-01-28,B,GBR,F,A,0
1000523,2023-02-04,A,BRA,F,A,89.64
1000524,2023-01-25,B,MEX,F,A,0
1000525,2023-02-05,B,BRA,F,I,0
1000526,2023-01-29,A,USA,F,,0
1000527,2023-01-31,B,BRA,F,A,0
1000528,2023-01-25,A,DEU,F,A,0
1000529,2023-01-27,B,GBR,M,A,0
1000530,2023-02-03,B,FRA,F,I,0
1000531,2023-01-25,A,DEU,F,I,0
1000532,2023-01-26,A,USA,M,I,0
1000533,2023-01-25,B,USA,M,A,0
1000534,2023-01-29,B,FRA,F,A,0
1000535,2023-01-31,A,DEU,M,I,0
1000536,2023-01-30,A,USA,M,A,0
1000537,2023-01-25,A,BRA,M,I,0
1000538,2023-01-26,A,FRA,M,I,0
1000539,2023-01-26,A,BRA,F,I,0
1000540,2023-01-25,A,BRA,F,A,0
1000541,2023-01-26,B,BRA,F,A,0
1000542,2023-01-27,A,MEX,M,A,0
1000543,2023-02-03,B,USA,M,A,0
1000544,2023-01-30,A,USA,M,A,0
1000545,2023-01-29,B,USA,M,A,0
1000546,2023-01-29,A,FRA,F,A,61.12
1000547,2023-01-26,A,USA,M,A,0
1000548,2023-01-31,A,USA,F,I,0
1000549,2023-02-03,B,TUR,M,I,0
1000550,2023-01-25,B,GBR,M,I,0
1000551,2023-01-28,A,FRA,F,A,0
1000552,2023-01-27,B,USA,F,I,0
1000553,2023-01-25,A,USA,M,A,0
1000554,2023-01-26,B,USA,M,I,0
1000555,2023-01-27,B,USA,F,I,0
1000556,2023-01-27,B,TUR,M,A,0
1000557,2023-01-28,A,TUR,F,A,0
1000558,2023-01-27,A,BRA,,I,0
1000559,2023-01-25,B,DEU,M,I,0
1000560,2023-01-25,B,USA,F,I,0
1000561,2023-01-25,B,USA,F,A,0
1000562,2023-01-27,A,ESP,M,I,0
1000563,2023-01-25,A,BRA,,A,0
1000564,2023-01-25,A,USA,F,A,0
1000565,2023-02-02,A,DEU,F,I,0
1000566,2023-01-25,A,USA,F,I,0
1000567,2023-02-04,B,GBR,F,A,0
1000568,2023-01-30,A,AUS,M,I,0
1000569,2023-02-01,A,GBR,M,A,0
1000570,2023-01-25,A,MEX,M,A,0
1000571,2023-02-04,A,USA,F,A,0
1000572,2023-01-26,B,TUR,,I,0
1000573,2023-01-26,A,BRA,F,I,0
1000574,2023-02-06,A,USA,,A,0
1000575,2023-02-06,B,USA,M,I,0
1000576,2023-01-27,B,TUR,M,A,0
1000577,2023-01-26,B,BRA,F,A,0
1000578,2023-01-25,B,BRA,,A,0
1000579,2023-02-04,B,BRA,M,A,117.79
1000580,2023-01-27,A,USA,F,A,0
1000581,2023-01-28,A,TUR,,I,0
1000583,2023-01-31,B,USA,M,A,0
1000584,2023-01-25,A,USA,M,I,0
1000585,2023-02-04,A,USA,F,A,0
1000586,2023-01-31,A,DEU,O,I,0
1000587,2023-01-25,A,USA,F,A,0
1000588,2023-01-25,A,DEU,M,A,0
1000589,2023-01-26,A,USA,,A,0
1000590,2023-02-02,A,DEU,M,A,0
1000591,2023-01-27,B,USA,F,A,0
1000592,2023-01-25,B,CAN,,A,0
1000593,2023-01-27,B,MEX,M,A,0
1000594,2023-01-25,B,BRA,F,A,0
1000595,2023-01-29,B,DEU,,A,0
1000596,2023-01-28,B,GBR,M,A,0
1000597,2023-01-26,B,BRA,F,A,0
1000598,2023-01-31,B,BRA,O,I,0
1000599,2023-01-30,A,DEU,M,I,0
1000600,2023-01-25,B,MEX,M,I,0
1000601,2023-01-25,A,USA,F,A,10.79
1000602,2023-01-28,B,USA,,I,0
1000603,2023-01-25,B,USA,,A,0
1000604,2023-01-28,A,TUR,F,A,0
1000606,2023-01-26,A,USA,F,I,0
1000607,2023-02-03,A,USA,,A,0
1000608,2023-02-04,A,GBR,M,I,0
1000609,2023-01-25,B,MEX,M,I,0
1000610,2023-02-04,B,DEU,M,I,0
1000611,2023-01-28,B,TUR,M,I,0
1000612,2023-01-30,B,MEX,M,A,0
1000613,2023-01-29,A,GBR,M,A,0
1000614,2023-02-04,A,BRA,M,I,0
1000615,2023-02-05,A,GBR,F,I,0
1000616,2023-01-25,A,USA,M,I,0
1000617,2023-01-27,A,DEU,M,I,0
1000618,2023-01-26,B,BRA,,A,0
1000619,2023-01-26,A,USA,F,A,0
1000620,2023-01-25,B,USA,M,A,0
1000621,2023-01-26,A,TUR,M,I,0
1000622,2023-01-31,B,DEU,M,A,0
1000623,2023-01-27,A,USA,F,A,61.29
1000624,2023-01-25,B,GBR,F,A,0
1000625,2023-01-25,A,MEX,O,I,0
1000626,2023-02-06,A,USA,,A,0
1000627,2023-01-27,B,BRA,F,A,0
1000628,2023-01-30,B,TUR,,I,0
1000629,2023-02-02,A,BRA,,A,0
1000630,2023-01-28,A,GBR,M,I,0
1000631,2023-02-01,B,BRA,M,I,0
1000632,2023-02-04,B,GBR,M,A,0
1000633,2023-01-27,A,DEU,F,A,0
1000634,2023-01-25,B,MEX,M,I,0
